player_name,last_team,last_league,cluster,similarity_to_salah,npg_per90,npxG_per90,shots_per90,assists_per90,xA_per90,key_passes_per90,xGChain_per90,xGBuildup_per90,xG_per_shot
Mohamed Salah (Target),Liverpool,Premier League,2,1.000000,0.557184,0.574821,3.885427,0.319452,0.300021,1.957572,1.012358,0.284717,0.177724
Ousmane Dembélé,Paris Saint Germain,Ligue 1,2,0.972794,0.900965,0.711114,4.569181,0.450483,0.450772,3.282088,1.360385,0.453161,0.174452
Vinícius Júnior,Real Madrid,La Liga,2,0.947817,0.368277,0.372357,3.174201,0.227981,0.276988,2.227202,0.816285,0.283814,0.150080
Raphinha,Barcelona,La Liga,2,0.943577,0.545964,0.560174,3.758749,0.272982,0.408084,2.750817,1.223287,0.451892,0.169727
Bradley Barcola,Paris Saint Germain,Ligue 1,2,0.934914,0.562359,0.607318,3.149213,0.247438,0.331062,1.979505,1.246954,0.491329,0.193679
Ibrahim Mbaye,Paris Saint Germain,Ligue 1,2,0.925918,0.276074,0.415982,2.484663,0.207055,0.220173,1.587423,0.922662,0.310629,0.161563
Luca Koleosho,Paris FC,Ligue 1,2,0.914512,0.522244,0.475503,2.959381,0.174081,0.288188,1.392650,1.004884,0.423213,0.160677
Michael Olise,Bayern Munich,Bundesliga,2,0.838235,0.519453,0.415060,3.616930,0.654126,0.602784,3.232150,1.349455,0.617975,0.114923
Yan Diomande,RB Leipzig,Bundesliga,2,0.785262,0.430794,0.288280,1.902673,0.287196,0.360749,2.046270,1.057945,0.517359,0.151513
