player_name,total_minutes,seasons_count,last_team,last_league,last_position,reliability,npg_per90,npxG_per90,shots_per90,assists_per90,xA_per90,key_passes_per90,xGChain_per90,xGBuildup_per90,xG_per_shot,cluster,similarity_to_salah
Tijjani Noslin,1943,2,Lazio,Serie A,F S,High,0.2836240855374227,0.32639288475981204,2.542487338210467,0.18232976927405742,0.18572877444113045,1.3472144063027574,0.6443767223305914,0.2544125358463507,0.12953801005326776,4,0.9915538733757278
Ousmane Dembélé,2797,2,Paris Saint Germain,Ligue 1,F S,High,0.8824971400555645,0.6819053101523052,4.5080895571171755,0.46331099852917146,0.45039274481547226,3.302010132374571,1.3187591928497386,0.4471541936965155,0.17207705767347006,2,0.9699392900192603
Rafael Leão,4203,2,AC Milan,Serie A,F S,High,0.3227014877448357,0.3616287144157969,2.8079845873916303,0.22637268543294445,0.2652340811181562,1.6713047201113134,0.7638141569230608,0.3034538265593198,0.1409508472946651,2,0.9665551379491275
Pau Victor,273,1,Barcelona,La Liga,F S,Low,0.6593406593406593,0.9782031855986014,4.615384615384615,0.32967032967032966,0.2891158206122262,2.6373626373626373,1.4700257458857129,0.2483223775749678,0.21194402354636363,2,0.9638428296936687
Matias Fernandez-Pardo,3468,2,Lille,Ligue 1,F M S,High,0.2542997542997543,0.334620704190206,2.388206388206388,0.18243243243243243,0.19185736713901216,1.348894348894349,0.6541229560788199,0.23717626185884072,0.15643765008071536,4,0.962833061390951
Leroy Sané,1638,1,Bayern Munich,Bundesliga,M S,Medium,0.6043956043956045,0.596927796377913,3.6813186813186816,0.27472527472527475,0.3364428274005979,2.032967032967033,1.183247578913694,0.470666535669467,0.1621505357325077,2,0.9622476514134926
El Bilal Touré,339,1,VfB Stuttgart,Bundesliga,F S,Low,0.5309734513274336,0.4246979559549188,3.7168141592920354,0.2654867256637168,0.3244222511034624,1.8584070796460177,0.9096108911047995,0.2391185672475701,0.1142639738640615,2,0.961111000199525
Omar Marmoush,3359,2,Manchester City,Premier League,F M S,High,0.6051383678958171,0.4916261403490314,4.16589992214594,0.32486375539670176,0.299959157707121,1.6052091443131147,0.8400983950197675,0.21678867164736373,0.12632826300298267,2,0.9596928948006582
Fisnik Asllani,2429,1,Hoffenheim,Bundesliga,F M S,High,0.37052284890901604,0.35217553141732777,2.704816797035817,0.25936599423631124,0.20014672510605036,1.2597776862906547,0.7319561671197242,0.2468357845594874,0.13020309981928296,0,0.9574774445263724
Cody Gakpo,4728,2,Liverpool,Premier League,F M S,High,0.31149053991693587,0.34694048507378905,2.7535763728657128,0.1702814951545916,0.2408464808759667,1.7318874019381634,0.7559643029826244,0.2652367329466478,0.12674575272697805,4,0.9542890602946069
Amine Gouiri,3440,2,Marseille,Ligue 1,F M S,High,0.5491444488658973,0.47124239285148517,3.068046159968165,0.20891364902506962,0.2279321655521367,1.7966573816155986,0.7547655950681744,0.17874778938059827,0.15753795690010006,0,0.9513528311967666
Vinícius Júnior,5132,2,Real Madrid,La Liga,F M S,High,0.3693412559312615,0.3678709873027877,3.1701791134099944,0.2192963707091865,0.270593104785215,2.2198948403368526,0.8049782829322786,0.2819534190400727,0.14934025680008697,2,0.9462955985221115
Raphinha,4286,2,Barcelona,La Liga,F M S,High,0.5525635501938819,0.5603397373085579,3.7855450236966828,0.26658767772511843,0.4054186264430572,2.7337354588539418,1.221434760835537,0.45538084935806195,0.16983852387480874,2,0.9439192109061249
Harry Kane,4785,2,Bayern Munich,Bundesliga,F M S,High,0.8278745644599304,0.7454895918027137,4.394425087108014,0.25505226480836235,0.2532774494318389,1.4383275261324042,1.221817164948593,0.3667235311159689,0.23488391453376706,0,0.9428861721267078
Marcus Rashford,3174,2,Barcelona,La Liga,F M S,High,0.37409075164530653,0.37651193443947717,3.2421198475926567,0.29303775545549016,0.27267308556547326,2.107377900935227,0.7901567350518168,0.32841328045551366,0.12558394590681565,2,0.9428340828301469
